date,fwi,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,infsinx
2003-06-01,5.107597,48.003323,309.22647,31.97877,63.368996,1.6521633,1.9525574
2003-06-02,5.2476215,48.651356,310.63504,32.506065,63.739452,1.5954244,2.071626
2003-06-03,5.5441737,49.69021,313.37738,33.33391,68.512726,1.6207733,2.3029206
2003-06-04,5.2980776,49.177643,312.57004,33.063404,57.550175,1.5585035,2.0905862
2003-06-05,5.173107,49.023396,311.88086,33.05936,52.066586,1.5527604,1.9132084
2003-06-06,5.7720585,50.0868,313.92548,33.910744,60.66172,1.8302373,2.276809
2003-06-07,6.2983623,50.927067,316.38403,34.618427,64.50243,2.1196382,2.5974689
2003-06-08,5.8563895,50.776573,316.14197,34.591564,56.894848,1.916757,2.2528772
2003-06-09,5.7209907,51.485268,317.74048,35.1632,60.026836,1.8619409,2.108215
2003-06-10,5.9119434,52.601963,320.74164,36.054592,66.64472,1.8035051,2.3319917
2003-06-11,6.5960135,54.091423,324.59488,37.222702,73.67493,1.8989679,2.8906622
2003-06-12,6.3929424,55.229202,327.7936,38.138214,74.01248,1.715171,2.7745872
2003-06-13,7.1205974,56.459705,330.803,39.14587,74.4074,1.9463009,3.178347
2003-06-14,7.077624,57.597343,334.0806,40.04694,74.87128,1.9283245,2.9872704
2003-06-15,7.525737,58.84922,337.42996,41.082035,75.21237,2.054304,3.1640942
2003-06-16,7.2681007,59.55127,339.62103,41.66941,70.71205,2.0020468,2.8797898
2003-06-17,6.6711597,59.288128,339.79752,41.53004,62.960045,1.9723606,2.4400501
2003-06-18,6.608276,59.50491,340.9174,41.75549,63.4457,2.0007899,2.3676198
2003-06-19,5.8844237,58.481804,340.53482,41.000145,55.004303,1.885877,1.9297845
2003-06-20,4.5593543,55.70436,333.97543,38.479637,41.139614,1.6098399,1.2190208
2003-06-21,4.547631,55.482815,333.07034,38.27903,49.645466,1.5927932,1.3715676
2003-06-22,4.7581034,55.056038,333.94858,37.844166,62.14652,1.5254955,1.6356356
2003-06-23,5.5414367,56.074814,336.94382,38.621174,67.29223,1.6881229,2.135103
2003-06-24,5.665078,56.406845,338.28885,38.912045,63.01742,1.7862462,2.0482583
2003-06-25,5.857962,56.926632,339.72272,39.36814,62.625065,1.8300205,2.1015265
2003-06-26,6.3034215,57.88056,341.71332,40.14009,63.751377,1.9448341,2.3357615
2003-06-27,6.6301475,58.786106,343.92374,40.879982,66.04877,2.0865242,2.4723754
2003-06-28,6.7228775,59.640236,346.58234,41.577267,67.44299,2.1074615,2.542197
2003-06-29,6.3214793,58.908146,345.3787,41.15309,55.944885,1.9566274,2.2237394
2003-06-30,6.044632,58.76892,346.41724,41.08651,56.895046,1.7946906,2.1159487
2003-07-01,6.585159,60.013866,348.95914,42.08131,66.84075,1.9690027,2.3897405
2003-07-02,7.146154,60.766464,351.8485,42.68963,67.68929,2.1960616,2.7262015
2003-07-03,7.1938367,61.443962,353.43832,43.26762,66.024124,2.272977,2.6266
2003-07-04,7.8079867,62.832035,356.8615,44.354275,71.918755,2.3829434,2.9853454
2003-07-05,7.919442,64.38475,360.92923,45.566,77.54974,2.209263,3.1978445
2003-07-06,8.450431,65.680534,364.50476,46.57929,78.43581,2.4129612,3.468073
2003-07-07,7.6490536,65.70768,366.54218,46.629116,71.19581,2.3435109,2.8935654
2003-07-08,7.9422793,65.87955,367.13474,46.878105,66.79079,2.421076,2.9475827
2003-07-09,8.449381,66.9249,369.8687,47.748413,71.867355,2.5491002,3.2142909
2003-07-10,7.975739,67.29997,371.54202,48.132004,68.594475,2.4207106,2.9007168
2003-07-11,7.5907736,66.20436,369.1158,47.488445,58.50442,2.427115,2.61443
2003-07-12,7.5241055,65.77657,367.26126,47.28596,58.06546,2.40523,2.615222
2003-07-13,8.23971,67.00852,369.68875,48.285385,71.59328,2.5894713,3.1837225
2003-07-14,8.695504,68.78178,373.553,49.69844,79.77924,2.6143215,3.5150812
2003-07-15,9.224412,70.72285,377.8101,51.274696,83.954414,2.667786,3.817837
2003-07-16,10.181048,72.28957,381.64282,52.510834,82.48219,2.9521546,4.2412467
2003-07-17,9.249835,72.04896,381.99957,52.18472,69.85341,2.8482406,3.4343722
2003-07-18,8.002629,70.57323,380.88678,50.811813,63.1466,2.5453134,2.8024557
2003-07-19,6.861562,68.06081,377.64716,48.36482,61.927094,1.9694315,2.2613487
2003-07-20,7.381192,68.13865,379.64948,48.245667,67.14893,2.1170475,2.4849799
2003-07-21,7.770883,69.10658,383.74567,49.077267,73.96536,2.1729357,2.6904652
2003-07-22,8.100813,70.288414,387.18762,50.04708,74.27219,2.206835,2.785646
2003-07-23,8.99267,71.302574,389.18124,50.95234,72.90322,2.5049195,3.179647
2003-07-24,8.634791,71.84301,391.37753,51.352543,70.83328,2.4653199,2.9618423
2003-07-25,7.2370853,71.12363,392.27585,50.65829,64.66862,2.1361613,2.292057
2003-07-26,6.4461045,69.61439,391.2211,49.4883,59.760826,1.9899489,1.9198598
2003-07-27,7.187895,69.925186,391.88086,49.835644,63.72852,2.2317843,2.2091413
2003-07-28,8.072278,71.49047,395.58737,51.01603,73.11825,2.4698827,2.697373
2003-07-29,8.71868,72.86843,399.3719,52.065712,75.38571,2.6473048,3.012398
2003-07-30,8.972367,73.86063,402.30588,52.87825,73.40868,2.7089922,3.0861948
2003-07-31,9.015571,74.65959,403.60846,53.618427,70.39665,2.720896,2.96765
2003-08-01,9.07076,76.02412,406.27643,54.72256,74.146965,2.6576445,3.0079546
2003-08-02,8.442884,76.546646,408.38562,55.088245,72.590454,2.4776592,2.7735052
2003-08-03,5.9419093,73.173164,406.14053,52.084778,61.250584,1.7304935,1.6814251
2003-08-04,6.3117056,71.59633,405.48715,50.696564,60.626038,1.9914699,1.7773551
2003-08-05,7.4087977,71.95797,406.72083,51.069756,67.41009,2.3124142,2.2873137
2003-08-06,7.957135,73.23989,410.2685,52.05084,72.7708,2.4638214,2.672306
2003-08-07,6.7475085,71.85037,409.36697,50.943386,66.73732,2.1186364,2.1504188
2003-08-08,5.5098524,67.65482,401.20004,47.541595,51.013306,1.974518,1.6162487
2003-08-09,5.2724853,64.65439,393.9463,45.42591,43.143635,1.9649678,1.4918603
2003-08-10,5.2532406,62.63417,389.0881,43.87825,47.41729,2.0447402,1.5323151
2003-08-11,5.6835575,63.852974,390.6499,44.72689,62.65829,2.0378213,1.9130673
2003-08-12,6.5569444,65.82669,394.6086,46.157566,74.31161,2.1429222,2.5159883
2003-08-13,7.6635976,67.90757,398.92838,47.684864,79.93035,2.4024048,3.1340153
2003-08-14,8.833042,69.71707,402.57208,49.05835,80.29127,2.7281737,3.7277405
2003-08-15,9.125397,71.08376,405.499,50.13489,77.47386,2.7752428,3.8377044
2003-08-16,9.092328,71.96664,407.6212,50.84301,74.82427,2.8640282,3.680861
2003-08-17,8.97904,71.32611,405.61786,50.538128,65.405815,3.056829,3.4725332
2003-08-18,9.17174,72.20133,406.67505,51.31196,69.70312,3.1651456,3.517762
2003-08-19,9.838684,73.792175,409.51733,52.598644,73.24304,3.294826,3.8627057
2003-08-20,10.3003845,75.651505,413.14456,54.09099,77.03948,3.2098904,4.1498075
2003-08-21,10.831404,77.30662,416.35284,55.45826,76.63093,3.3111506,4.275703
2003-08-22,11.115331,78.84951,419.73007,56.702194,78.28033,3.4087865,4.360545
2003-08-23,10.22942,79.61337,422.14645,57.308205,75.85131,3.369011,3.8627577
2003-08-24,8.724764,78.115685,420.84735,56.1684,69.37341,2.961777,3.103993
2003-08-25,7.9533596,77.20797,419.9964,55.497543,65.995865,2.7719345,2.6770473
2003-08-26,7.405553,74.970535,413.86063,53.96115,55.717697,2.6791053,2.400209
2003-08-27,8.22742,75.00896,413.80862,53.9961,63.225807,2.9388359,2.8822281
2003-08-28,9.359644,75.50115,415.09113,54.287117,68.30516,3.2593155,3.799346
2003-08-29,10.437961,77.30531,418.4353,55.75419,75.62979,3.4262755,4.335879
2003-08-30,10.894599,79.39153,422.4304,57.443676,80.69875,3.4689486,4.4439473
2003-08-31,10.922475,81.48108,426.74942,59.160458,83.03279,3.3801,4.3414593
